"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5833","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Tue Oct 07 21:18:20 GMT 2025","passed","Tue Oct 07 21:18:25 GMT 2025","TestUserLocation","test_user_location","",""
"","3984","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 21:13:12 GMT 2025","passed","Tue Oct 07 21:13:16 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","3965","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 21:14:21 GMT 2025","passed","Tue Oct 07 21:14:25 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","13941","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 20:58:19 GMT 2025","passed","Tue Oct 07 20:58:33 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","9073","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 21:15:36 GMT 2025","passed","Tue Oct 07 21:15:45 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","3299","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 21:16:06 GMT 2025","passed","Tue Oct 07 21:16:10 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","42977","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Tue Oct 07 20:49:18 GMT 2025","passed","Tue Oct 07 20:50:01 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","11017","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 21:00:21 GMT 2025","passed","Tue Oct 07 21:00:32 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","27478","Наведение курсора на разделы каталога и навигация по нему","tests.tests_catalog","Tue Oct 07 21:02:37 GMT 2025","passed","Tue Oct 07 21:03:05 GMT 2025","TestCatalogMenuOnHomePage","test_catalog_menu_on_home_page","",""
"","9945","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 20:59:44 GMT 2025","passed","Tue Oct 07 20:59:54 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","9529","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 20:57:47 GMT 2025","passed","Tue Oct 07 20:57:57 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","9042","Пользователь видит цены на смартфоны марки Huawei","tests.tests_catalog","Tue Oct 07 21:11:13 GMT 2025","passed","Tue Oct 07 21:11:22 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","33250","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Tue Oct 07 20:53:37 GMT 2025","passed","Tue Oct 07 20:54:10 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
"","9588","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 20:57:19 GMT 2025","passed","Tue Oct 07 20:57:29 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","19101","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 21:01:12 GMT 2025","passed","Tue Oct 07 21:01:31 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","5070","Пользователь может перейти в категорию через главную страницу","tests.tests_home_page","Tue Oct 07 21:13:55 GMT 2025","passed","Tue Oct 07 21:14:00 GMT 2025","TestUserCanGoToTheCategory","test_user_can_go_to_the_category","",""
"","5768","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Tue Oct 07 21:17:55 GMT 2025","passed","Tue Oct 07 21:18:01 GMT 2025","TestUserLocation","test_user_location","",""
"","8169","Проверяем что корзина пуста","tests.tests_cart_page","Tue Oct 07 20:48:24 GMT 2025","passed","Tue Oct 07 20:48:32 GMT 2025","TestCartIsEmpty","test_cart_is_empty","",""
"","10221","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 20:59:14 GMT 2025","passed","Tue Oct 07 20:59:24 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","16157","Пользователь видит цены на смартфоны марки Samsung","tests.tests_catalog","Tue Oct 07 21:05:11 GMT 2025","passed","Tue Oct 07 21:05:27 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","9500","Пользователь может изменить локацию из предложенного списка в модальном окне","tests.tests_home_page","Tue Oct 07 21:17:05 GMT 2025","failed","Tue Oct 07 21:17:14 GMT 2025","TestUserLocation","test_user_location","",""
"","7324","Пользователь видит цены на смартфоны марки Motorola","tests.tests_catalog","Tue Oct 07 21:11:50 GMT 2025","passed","Tue Oct 07 21:11:58 GMT 2025","TestSmartphoneCardsHavePrices","test_smartphone_cards_have_prices","",""
"","9796","Пользователь видит все бренды смартфонов","tests.tests_catalog","Tue Oct 07 20:55:52 GMT 2025","passed","Tue Oct 07 20:56:02 GMT 2025","TestAllBrandsSmartphonesIsPresent","test_all_brands_smartphones_is_present","",""
"","40872","Пользователь может добавить смартфоны марки Apple iPhone в корзину","tests.tests_catalog","Tue Oct 07 20:52:34 GMT 2025","passed","Tue Oct 07 20:53:15 GMT 2025","TestAddSmartphoneToUserCart","test_add_smartphone_to_user_cart","",""
